Date,Close
16/05/2011,352.3
17/05/2011,347.72
18/05/2011,349.1
19/05/2011,350.84
20/05/2011,348.24
23/05/2011,342.46
24/05/2011,343.2
25/05/2011,344.91
26/05/2011,344.47
27/05/2011,346.06
30/05/2011,346.2
31/05/2011,349.44
01/06/2011,345.95
02/06/2011,340.64
03/06/2011,340.24
06/06/2011,339.18
07/06/2011,338.93
08/06/2011,335.65
09/06/2011,338.04
10/06/2011,333.83
13/06/2011,334.03
14/06/2011,337.52
15/06/2011,334.04
16/06/2011,333.11
20/06/2011,331.64
21/06/2011,336.14
22/06/2011,334.17
23/06/2011,328.57
24/06/2011,328.74
27/06/2011,328.51
28/06/2011,329.9
29/06/2011,335.28
30/06/2011,339.65
01/07/2011,342.82
04/07/2011,343.5
05/07/2011,343.1
06/07/2011,341.62
07/07/2011,345.16
08/07/2011,342.48
11/07/2011,336.16
12/07/2011,332.12
13/07/2011,332.98
14/07/2011,330.46
15/07/2011,329.49
18/07/2011,329.49
19/07/2011,326.17
20/07/2011,330.65
21/07/2011,336.86
22/07/2011,338.6
25/07/2011,337.27
26/07/2011,336.74
27/07/2011,333.1
28/07/2011,332.56
29/07/2011,329.17
01/08/2011,324.59
02/08/2011,320
03/08/2011,310.69
04/08/2011,300.85
05/08/2011,296.35
08/08/2011,283.36
09/08/2011,287.05
10/08/2011,277.27
11/08/2011,282.79
12/08/2011,291.9
15/08/2011,293.7
16/08/2011,291.51
17/08/2011,292.65
18/08/2011,279.58
19/08/2011,274.15
22/08/2011,276.37
23/08/2011,278.32
24/08/2011,281.58
25/08/2011,278.49
26/08/2011,276.6
29/08/2011,281.26
30/08/2011,281.26
31/08/2011,292.93
01/09/2011,293.96
02/09/2011,286.43
05/09/2011,274.45
06/09/2011,273.33
07/09/2011,281.05
08/09/2011,283.39
09/09/2011,276.1
12/09/2011,268.48
13/09/2011,270.05
14/09/2011,273.56
15/09/2011,278.52
16/09/2011,281.73
19/09/2011,274.63
20/09/2011,279.54
21/09/2011,275.68
22/09/2011,263.44
23/09/2011,264.72
26/09/2011,269.83
27/09/2011,282.04
28/09/2011,278.31
29/09/2011,283.98
30/09/2011,280.18
03/10/2011,275.64
04/10/2011,270.06
05/10/2011,278.09
06/10/2011,285.81
07/10/2011,288.31
10/10/2011,293.34
11/10/2011,292.88
13/10/2011,297.39
14/10/2011,302.41
17/10/2011,299.24
18/10/2011,298.68
19/10/2011,301.68
20/10/2011,299.01
21/10/2011,305.7
24/10/2011,308.32
25/10/2011,304.98
26/10/2011,303.84
27/10/2011,315.45
28/10/2011,313.01
31/10/2011,307.5
01/11/2011,296.19
02/11/2011,298.21
03/11/2011,304.5
04/11/2011,301.97
07/11/2011,299.75
08/11/2011,303.98
09/11/2011,294.4
10/11/2011,294.32
11/11/2011,300.98
14/11/2011,296.9
15/11/2011,296.9
16/11/2011,294.47
17/11/2011,290.21
18/11/2011,288.01
21/11/2011,278.84
22/11/2011,276.91
23/11/2011,272.79
24/11/2011,271.61
25/11/2011,274.37
28/11/2011,285.07
29/11/2011,287.55
30/11/2011,299.68
01/12/2011,296.97
02/12/2011,300.77
05/12/2011,305.1
06/12/2011,304.8
07/12/2011,304.31
08/12/2011,299.79
09/12/2011,304.58
12/12/2011,297.39
13/12/2011,298.56
14/12/2011,292.15
15/12/2011,294.62
16/12/2011,294.03
19/12/2011,293.9
21/12/2011,300.8
22/12/2011,305.18
26/12/2011,307.79
27/12/2011,309.37
28/12/2011,306.76
29/12/2011,310.76
30/12/2011,312.47
02/01/2012,316.82
03/01/2012,318.04
04/01/2012,314.53
05/01/2012,311.92
06/01/2012,311.11
09/01/2012,311.76
10/01/2012,315.5
11/01/2012,311.65
12/01/2012,310.3
13/01/2012,309.28
16/01/2012,313.23
17/01/2012,315.64
18/01/2012,315.52
19/01/2012,320.48
20/01/2012,320.31
23/01/2012,323.02
24/01/2012,320.97
25/01/2012,319.44
26/01/2012,322.82
27/01/2012,319.36
30/01/2012,315.63
31/01/2012,318.47
01/02/2012,325.15
02/02/2012,323.06
03/02/2012,326.33
06/02/2012,325.06
07/02/2012,325.97
08/02/2012,325.33
09/02/2012,325.12
10/02/2012,320.09
13/02/2012,322.61
14/02/2012,321.87
15/02/2012,322.86
16/02/2012,325.18
17/02/2012,327.93
20/02/2012,332.58
21/02/2012,330.51
22/02/2012,326.77
23/02/2012,326.22
24/02/2012,324.91
27/02/2012,324.98
28/02/2012,325.55
29/02/2012,324.25
01/03/2012,326.55
02/03/2012,327.85
05/03/2012,325.64
06/03/2012,317.53
07/03/2012,319.64
08/03/2012,325.11
09/03/2012,326.03
12/03/2012,326.1
13/03/2012,331.49
14/03/2012,333.2
15/03/2012,335.1
16/03/2012,336.17
19/03/2012,336.12
20/03/2012,332.05
21/03/2012,330.78
22/03/2012,326.92
26/03/2012,330.23
27/03/2012,328.99
28/03/2012,325.62
29/03/2012,321.09
30/03/2012,323.51
02/04/2012,323.51
03/04/2012,322.03
04/04/2012,314.91
09/04/2012,314.91
10/04/2012,305.91
11/04/2012,307.77
12/04/2012,310.88
13/04/2012,306.12
16/04/2012,306.02
17/04/2012,313.18
18/04/2012,309.99
19/04/2012,306.76
20/04/2012,309.2
23/04/2012,301.27
24/04/2012,304.68
25/04/2012,308
26/04/2012,310.55
27/04/2012,310.75
01/05/2012,308.3
02/05/2012,306.87
03/05/2012,306.44
04/05/2012,300.95
07/05/2012,304.74
08/05/2012,300.59
09/05/2012,300.07
10/05/2012,302.94
11/05/2012,305.28
14/05/2012,298.05
15/05/2012,296.24
16/05/2012,294.99
17/05/2012,290.23
18/05/2012,288.77
23/05/2012,289.16
24/05/2012,292.08
25/05/2012,292.76
28/05/2012,292.76
29/05/2012,295.27
